iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 6. loss: 9789320.931250932 	 train err: 0.5116442568994112 	 val err: 4.46716960623899 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 7. loss: 9561016.103375442 	 train err: 0.4964149498945093 	 val err: 4.788541918142003 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 8. loss: 9406369.623126157 	 train err: 0.4856287092939062 	 val err: 5.054350258944475 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 9. loss: 9323436.11915312 	 train err: 0.47936337624370906 	 val err: 5.1657490518930755 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 1 	 epoch: 10. loss: 9241801.63275366 	 train err: 0.4732361774515364 	 val err: 5.200913069902343 	 lam: 1 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 2 	 epoch: 1. loss: 32750267.939370938 	 train err: 2.1266130221484434 	 val err: 6.564031547485516 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 2 	 epoch: 2. loss: 15228040.10654595 	 train err: 0.988806338533273 	 val err: 3.3418790999372976 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 2 	 epoch: 3. loss: 12601181.931617174 	 train err: 0.8182282931106994 	 val err: 3.169145297336971 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 2 	 epoch: 4. loss: 10551359.593755424 	 train err: 0.6851160125458512 	 val err: 3.711693355885162 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 2 	 epoch: 5. loss: 9028197.379323032 	 train err: 0.5862032770481993 	 val err: 4.043161694665782 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 2 	 epoch: 6. loss: 8087020.7098749485 	 train err: 0.5250813049617268 	 val err: 4.449273031435467 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 2 	 epoch: 7. loss: 7702788.976344351 	 train err: 0.5001266139733485 	 val err: 4.753020843474994 	 lam: 0.0001 	 inner_dim: 5 
iteration: 1 	 delta_type: MSE 	 fold: 2 	 epoch: 8. loss: 7419326.842925876 	 train err: 0.4817157119493264 	 val err: 5.042387098666101 	 lam: 0.0001 	 inner_dim: 5 
